reading	word	google_pos	microsoft_pos	atok_pos	origin	source_url	note	added_on
ひびきばいそん	HibikiBison	人名	人名	人名	upstream			
ひかり	Hikari	人名	人名	人名	upstream			
びりあーも	HNビリアーモ	人名	人名	人名	upstream			
はにーすとらっぷ	Honeystrap	名詞	名詞	名詞	upstream			
はにすと	Honeystrap	名詞	名詞	名詞	upstream			
ひょなえらてぃおら	HyonaElatiora	人名	人名	人名	upstream			
ひょな	HyonaElatiora	人名	人名	人名	upstream			
いぶき	Ibuki	人名	人名	人名	upstream			
いこつ	Icotsu	人名	人名	人名	upstream			
あいくいーゔらんど	IkeEveland	人名	人名	人名	upstream			
あいく	IkeEveland	人名	人名	人名	upstream			
いりあむ	IRIAM	人名	人名	人名	upstream			
あいりす	IRyS	人名	人名	人名	upstream			
じゃっく	JACK	人名	人名	人名	upstream			
かえらこゔぁるすきあ	KaelaKovalskia	人名	人名	人名	upstream			
かえら	KaelaKovalskia	人名	人名	人名	upstream			
かえりくすでぼにあ	KaelixDebonair	人名	人名	人名	upstream			
けいりくすでぼねあ	KaelixDebonair	人名	人名	人名	upstream			
かえりくす	KaelixDebonair	人名	人名	人名	upstream			
けいりくす	KaelixDebonair	人名	人名	人名	upstream			
かへる	Kaheru	人名	人名	人名	upstream			
かりん	karin	人名	人名	人名	upstream			
かーみらぶらいあー	KarMiLaBlier	人名	人名	人名	upstream			
かろな	karona	人名	人名	人名	upstream			
かわいいくらぶ	KAWAIICLUB	人名	人名	人名	upstream			
かわくら	KAWAIICLUB	人名	人名	人名	upstream			
きあら	KiARA	人名	人名	人名	upstream			
きりん	Kilin	人名	人名	人名	upstream			
きらん	Kiran	人名	人名	人名	upstream			
きつねかつ	kitsunekatsu	人名	人名	人名	upstream			
きつねこん	KITSUNEKON	人名	人名	人名	upstream			
きずなあい	KizunaAI	人名	人名	人名	upstream			
あい	KizunaAI	人名	人名	人名	upstream			
くららちゃーむうっど	KlaraCharmwood	人名	人名	人名	upstream			
くらら	KlaraCharmwood	人名	人名	人名	upstream			
けものず	KMNZ	名詞	名詞	名詞	upstream			
こぼかなえる	KoboKanaeru	人名	人名	人名	upstream			
こぼ	KoboKanaeru	人名	人名	人名	upstream			
こうせきびじゅー	KosekiBijou	人名	人名	人名	upstream			
こせきびじゅー	KosekiBijou	人名	人名	人名	upstream			
びじゅー	KosekiBijou	人名	人名	人名	upstream			
ことかとらひめ	KotokaTorahime	人名	人名	人名	upstream			
ことか	KotokaTorahime	人名	人名	人名	upstream			
こととい	kototo!	人名	人名	人名	upstream			
こやみ	KoYami	人名	人名	人名	upstream			
けいそん	kson	人名	人名	人名	upstream			
けーそん	kson	人名	人名	人名	upstream			
くないなかさと	KunaiNakasato	人名	人名	人名	upstream			
くない	KunaiNakasato	人名	人名	人名	upstream			
くれいじーおりー	KureijiOllie	人名	人名	人名	upstream			
おりー	KureijiOllie	人名	人名	人名	upstream			
きょうかねこ	KyoKaneko	人名	人名	人名	upstream			
きょう	KyoKaneko	人名	人名	人名	upstream			
らっど	LAD-373	人名	人名	人名	upstream			
らいらあるすとろえめりあ	LaylaAlstroemeria	人名	人名	人名	upstream			
らいら	LaylaAlstroemeria	人名	人名	人名	upstream			
らず	Laz	人名	人名	人名	upstream			
いおん	LeeOn	人名	人名	人名	upstream			
れいな	Leina	人名	人名	人名	upstream			
らいむ	Lime	人名	人名	人名	upstream			
りめ	Lime	人名	人名	人名	upstream			
りた	LITA	人名	人名	人名	upstream			
りず	LIZ	人名	人名	人名	upstream			
るかかねしろ	LucaKaneshiro	人名	人名	人名	upstream			
るか	LucaKaneshiro	人名	人名	人名	upstream			
るーくあへっど	LukeAHEAD	人名	人名	人名	upstream			
るきあ	LuKia	人名	人名	人名	upstream			
まひる	MahiLu	人名	人名	人名	upstream			
まきな	makina	人名	人名	人名	upstream			
まりあまりおねっと	MariaMarionette	人名	人名	人名	upstream			
まりあ	MariaMarionette	人名	人名	人名	upstream			
まーぷる	Marple	人名	人名	人名	upstream			
まる	MaRu	人名	人名	人名	upstream			
まてりある	MateReal	人名	人名	人名	upstream			
めだ	MEDA	人名	人名	人名	upstream			
めろこきょうらん	MelocoKyoran	人名	人名	人名	upstream			
めろこ	MelocoKyoran	人名	人名	人名	upstream			
めめっくす	memex	人名	人名	人名	upstream			
みあ	Mia	人名	人名	人名	upstream			
みある	MIAL	人名	人名	人名	upstream			
みかめらてぃか	MikaMelatika	人名	人名	人名	upstream			
みか	MikaMelatika	人名	人名	人名	upstream			
みりーぱふぇ	MillieParfait	人名	人名	人名	upstream			
みりー	MillieParfait	人名	人名	人名	upstream			
みなみ	Minami	人名	人名	人名	upstream			
みゆおったふぃあ	MiyuOttavia	人名	人名	人名	upstream			
みゆおったゔぃあ	MiyuOttavia	人名	人名	人名	upstream			
みゆ	MiyuOttavia	人名	人名	人名	upstream			
もここあびすがーど	MococoAbyssgard	人名	人名	人名	upstream			
もここ	MococoAbyssgard	人名	人名	人名	upstream			
もぐらいぶ	MoguLive	人名	人名	人名	upstream			
もぐら	Mogura	人名	人名	人名	upstream			
もくろく	MOKUROKU	人名	人名	人名	upstream			
もんすたーずめいと	MonsterZMATE	人名	人名	人名	upstream			
ｍｚｍ	MonsterZMATE	人名	人名	人名	upstream			
むーなほしのゔぁ	MoonaHoshinova	人名	人名	人名	upstream			
むーな	MoonaHoshinova	人名	人名	人名	upstream			
もりかりおぺ	MoriCalliope	人名	人名	人名	upstream			
かりおぺ	MoriCalliope	人名	人名	人名	upstream			
もり	MoriCalliope	人名	人名	人名	upstream			
みすたりあす	MystaRias	人名	人名	人名	upstream			
みすた	MystaRias	人名	人名	人名	upstream			
なぎさあるしにあ	NagisaArcinia	人名	人名	人名	upstream			
なぎさ	NagisaArcinia	人名	人名	人名	upstream			
なみみ	NaMiMi	人名	人名	人名	upstream			
ななしむめい	NanashiMumei	人名	人名	人名	upstream			
むめい	NanashiMumei	人名	人名	人名	upstream			
ならはらまうん	NaraHaramaung	人名	人名	人名	upstream			
なら	NaraHaramaung	人名	人名	人名	upstream			
なせら	NaSera	人名	人名	人名	upstream			
えぬびー	NBちゃん	人名	人名	人名	upstream			
ねらる	neral	人名	人名	人名	upstream			
ねりっされいゔんくろふと	NerissaRavencroft	人名	人名	人名	upstream			
ねりっさ	NerissaRavencroft	人名	人名	人名	upstream			
ねうろさま	Neuro-sama	人名	人名	人名	upstream			
にな	Ni-na	人名	人名	人名	upstream			
になこうさか	NinaKosaka	人名	人名	人名	upstream			
にな	NinaKosaka	人名	人名	人名	upstream			
にのまえいなにす	NinomaeIna'nis	人名	人名	人名	upstream			
いなにす	NinomaeIna'nis	人名	人名	人名	upstream			
のえる	Noelle	人名	人名	人名	upstream			
ぬーる	Noor	人名	人名	人名	upstream			
のーと	Note:	人名	人名	人名	upstream			
のて	Note:	人名	人名	人名	upstream			
のーうぇあー	Nowhere	人名	人名	人名	upstream			
んと	N-TO	人名	人名	人名	upstream			
にゃたーしゃにゃんなーず	NyatashaNyanners	人名	人名	人名	upstream			
にゃんなーず	NyatashaNyanners	人名	人名	人名	upstream			
おーろくろにー	OuroKronii	人名	人名	人名	upstream			
くろにー	OuroKronii	人名	人名	人名	upstream			
ぱゔぉりあれいね	PavoliaReine	人名	人名	人名	upstream			
れいね	PavoliaReine	人名	人名	人名	upstream			
ぺろ	PERO	人名	人名	人名	upstream			
ぺとらぐりん	PetraGurin	人名	人名	人名	upstream			
